ID,ITEM,PROCESS,PRICE($GHS)
1,COAT/BLAZER,PRESS,10
2,SHIRT,PRESS,7
3,SUIT/2PC,PRESS,15
4,TROUSERS,PRESS,8
5,BLOUSE,PRESS,8
6,DRESS,PRESS,8
7,KABA2PC,PRESS,12
8,KABA3PC,PRESS,15
9,KABA/KENTE/2PC,PRESS,12
10,KABA/KENTE/3PC,PRESS,15
11,KAFTAN/BOUBOU/1PC,PRESS,8
12,KAFTAN/BOUBOU/2PC,PRESS,12
13,KAFTAN/BOUBOU/3PC,PRESS,15
14,OVERCOAT,PRESS,8
15,POLO/GOLF/SHIRT,PRESS,5b
16,ROBE/ACADEMIC/CHOIR,PRESS,15
17,SHORTS,PRESS,6
18,SMOCK/1PC,PRESS,8
19,SMOCK/2PC,PRESS,12
20,SMOCK/3PC,PRESS,15
21,SUIT/3PC,PRESS,15
22,SUIT/SAFARI,PRESS,12
23,T-SHIRT,PRESS,5
24,PILLOW/CASES,5
