ITEM,PROCESS,PRICE(GHS)
2PC SUIT,DRY_CLEAN,$14.20 
2PC SUIT-PRESS ONLY,DRY_CLEAN,$9.35
2PC DRESS,DRY_CLEAN,$19.70
2PC DRESS-PRESS ONLY,DRY_CLEAN,$20.5
3PC SUIT,DRY_CLEAN,$17.90 
3PC SUIT-PRESS ONLY,DRY_CLEAN,$13.7
BLOUSE (WOMAN’S,DRY_CLEAN,$5.75
BLOUSE-PRESS ONLY,DRY_CLEAN,$3.30
DRESS ,DRY_CLEAN,$12.10
DRESS-PRESS ONLY,DRY_CLEAN,$8.80
DRESS-FANCY/EVENING,DRY_CLEAN,$19.80 
DRESS-FANCY/EVENING,DRY_CLEAN,$26
GOWNS,DRY_CLEAN,$22.00 
OVERCOAT-SHORT,DRY_CLEAN,$16.50 
OVERCOAT-LONG ,DRY_CLEAN,$29
PANTS,DRY_CLEAN,$6.60 
ROBES-CHOIR/PASTOR ,DRY_CLEAN,$16.50 
ROBES-SHORT,DRY_CLEAN,$19
SHORTS,DRY_CLEAN,$5.50 
SHIRTS,DRY_CLEAN,$6.10 
SPORT COATS,DRY_CLEAN,$23.25 
SKIRTS,DRY_CLEAN,$10.30
SWEATERS,DRY_CLEAN,$6.60 
SHAWL/SCARFS LONG,DRY_CLEAN,$15.50 
TIE/CUMMERBUND,DRY_CLEAN,$7
VEST,DRY_CLEAN,$8

