ITEM,PROCESS,PRICE(GHS)
SHIRTS-SHORT SLEEVE,LAUNDRY,$2.42 
SHIRTS-LONG SLEEVE,LAUNDRY,$10.77
PANTS-NO OR LIGHT STARCH,LAUNDRY,$6.77 
PANTS-MED OR HEAVY STARCH,LAUNDRY,$6.44 
SHORTS-NO OR LIGHT STARCH,LAUNDRY,$6.44 
SHORTS-MED OR HEAVY STARCH,LAUNDRY,$6.27
LAB COAT- SHORT-NO OR LIGHT STARCH,LAUNDRY,$6.05 
LAB COAT-SHORT-HEAVY STARCH,LAUNDRY,$6.05
LAB COAT-LONG-NO OR LIGHT STARCH,LAUNDRY,$6.05 
LAB COAT-LONG-HEAVY STARCH,LAUNDRY,$6.05
JACKET-NO OR LIGHT STARCH,LAUNDRY,$7.98
JACKET-HEAVY STARCH,LAUNDRY,$7.98
SKIRTS-NO OR LIGHT STARCH,LAUNDRY,$5.83
SKIRTS-HEAVY STARCH,LAUNDRY,$5.83 
DRESSES-NO OR LIGHT STARCH,LAUNDRY,$12.10 
DRESSES-HEAVY STARCH,LAUNDRY,$12.10 
CAMMIES-NO OR LIGHT STARCH,LAUNDRY,$9.35
CAMMIES-HEAVY STARCH,LAUNDRY,$9.30
TABLE CLOTHS,LAUNDRY,7.45
DRY CLEANING DRAPES-NON PLEATED-PER PANEL,LAUNDRY,$8.80 
DRAPES-PLEATED-PER PLEAT,LAUNDRY,$1.65
PILLOW CASES,LAUNDRY,$2.89

